Time,C1C
2022-01-02 16:31:00,23640353.2927
2022-01-02 16:31:30,23632982.7737
2022-01-02 16:32:00,23625705.0137
2022-01-02 16:32:30,23618518.6927
2022-01-02 16:33:00,23611424.0967
2022-01-02 16:33:30,23604421.9716
2022-01-02 16:34:00,23597512.2787
2022-01-02 16:34:30,23590695.0777
2022-01-02 16:35:00,23583969.2607
2022-01-02 16:35:30,23577338.5147
2022-01-02 16:36:00,23570799.8807
2022-01-02 16:36:30,23564352.4347
2022-01-02 16:37:00,23557999.0267
2022-01-02 16:37:30,23551738.9567
2022-01-02 16:38:00,23545571.1327
2022-01-02 16:38:30,23539496.4457
2022-01-02 16:39:00,23533515.3437
2022-01-02 16:39:30,23527627.9067
2022-01-02 16:40:00,23521834.2917
2022-01-02 16:40:30,23516132.5257
2022-01-02 16:41:00,23510526.7167
2022-01-02 16:41:30,23505012.6347
2022-01-02 16:42:00,23499592.7837
2022-01-02 16:42:30,23494265.9617
2022-01-02 16:43:00,23489032.0287
2022-01-02 16:43:30,23483894.2767
2022-01-02 16:44:00,23478849.3907
2022-01-02 16:44:30,23473897.7907
2022-01-02 16:45:00,23469040.5067
2022-01-02 16:45:30,23464276.6157
2022-01-02 16:46:00,23459605.9457
2022-01-02 16:46:30,23455030.9707
2022-01-02 16:47:00,23450549.5337
2022-01-02 16:47:30,23446161.3997
2022-01-02 16:48:00,23441866.2697
2022-01-02 16:48:30,23437666.7917
2022-01-02 16:49:00,23433559.9687
2022-01-02 16:49:30,23429547.5847
2022-01-02 16:50:00,23425629.3017
2022-01-02 16:50:30,23421803.5107
2022-01-02 16:51:00,23418073.5817
2022-01-02 16:51:30,23414436.7527
2022-01-02 16:52:00,23410893.4577
2022-01-02 16:52:30,23407443.5877
2022-01-02 16:53:00,23404086.7577
2022-01-02 16:53:30,23400824.6957
2022-01-02 16:54:00,23397655.7407
2022-01-02 16:54:30,23394579.6817
2022-01-02 16:55:00,23391597.7867
2022-01-02 16:55:30,23388709.8147
2022-01-02 16:56:00,23385914.0257
2022-01-02 16:56:30,23383212.4007
2022-01-02 16:57:00,23380603.7567
2022-01-02 16:57:30,23378087.4077
2022-01-02 16:58:00,23375664.7227
2022-01-02 16:58:30,23373334.2627
2022-01-02 16:59:00,23371097.0457
2022-01-02 16:59:30,23368952.4057
2022-01-02 17:00:00,23366900.3777
2022-01-02 17:00:30,23364941.1907
2022-01-02 17:01:00,23363074.1257
2022-01-02 17:01:30,23361298.7097
2022-01-02 17:02:00,23359617.2117
2022-01-02 17:02:30,23358025.3557
2022-01-02 17:03:00,23356526.7357
2022-01-02 17:03:30,23355119.6557
2022-01-02 17:04:00,23353804.2077
2022-01-02 17:04:30,23352580.1697
2022-01-02 17:05:00,23351447.6907
2022-01-02 17:05:30,23350405.9447
2022-01-02 17:06:00,23349455.1037
2022-01-02 17:06:30,23348595.1197
2022-01-02 17:07:00,23347826.3077
2022-01-02 17:07:30,23347147.6647
2022-01-02 17:08:00,23346560.3437
2022-01-02 17:08:30,23346061.8237
2022-01-02 17:09:00,23345654.3827
2022-01-02 17:09:30,23345335.5837
2022-01-02 17:10:00,23345107.1317
2022-01-02 17:10:30,23344968.0027
2022-01-02 17:11:00,23344917.3107
2022-01-02 17:11:30,23344956.9947
2022-01-02 17:12:00,23345084.5297
2022-01-02 17:12:30,23345301.1657
2022-01-02 17:13:00,23345606.1727
2022-01-02 17:13:30,23345999.2167
2022-01-02 17:14:00,23346480.0907
2022-01-02 17:14:30,23347049.4987
2022-01-02 17:15:00,23347706.2237
2022-01-02 17:15:30,23348449.4547
2022-01-02 17:16:00,23349279.7667
2022-01-02 17:16:30,23350197.0607
2022-01-02 17:17:00,23351201.3197
2022-01-02 17:17:30,23352291.7147
2022-01-02 17:18:00,23353468.2987
2022-01-02 17:18:30,23354730.1897
2022-01-02 17:19:00,23356078.3067
2022-01-02 17:19:30,23357511.2867
2022-01-02 17:20:00,23359029.5467
2022-01-02 17:20:30,23360632.7487
2022-01-02 17:21:00,23362318.7197
2022-01-02 17:21:30,23364090.6537
2022-01-02 17:22:00,23365946.8467
2022-01-02 17:22:30,23367885.8387
2022-01-02 17:23:00,23369908.7267
2022-01-02 17:23:30,23372013.1097
2022-01-02 17:24:00,23374202.3217
2022-01-02 17:24:30,23376472.5757
2022-01-02 17:25:00,23378826.4147
2022-01-02 17:25:30,23381260.9197
2022-01-02 17:26:00,23383776.5317
2022-01-02 17:26:30,23386373.5937
2022-01-02 17:27:00,23389053.1707
2022-01-02 17:27:30,23391811.1657
2022-01-02 17:28:00,23394650.3827
2022-01-02 17:28:30,23397569.6897
2022-01-02 17:29:00,23400568.6787
2022-01-02 17:29:30,23403645.9957
2022-01-02 17:30:00,23406803.6417
2022-01-02 17:30:30,23410038.2737
2022-01-02 17:31:00,23413352.0327
2022-01-02 17:31:30,23416743.9697
2022-01-02 17:32:00,23420213.2087
2022-01-02 17:32:30,23423759.2117
2022-01-02 17:33:00,23427381.6877
2022-01-02 17:33:30,23431081.7307
2022-01-02 17:34:00,23434858.2947
2022-01-02 17:34:30,23438709.8357
